name,year,made_at,size,catalog_no,filename
View Of A River With Rowing Boats,1887,Paris,52 x 65cm,F 300 - JH 1275,deep400_view_of_a_river_with_rowing_boats.jpg
Lane In Voyer D'Argenson Park At Asniã¨Res,1887,Paris,Oil on cardboard 33 x 42cm,F 275 - JH 1278,deep401_lane_in_voyer_d'argenson_park_at_asnières.jpg
Factories At Asniã¨Res Seen From The Quai De Clichy,1887,Paris,54 x 72cm,F 317 - JH 1287,deep402_factories_at_asnières_seen_from_the_quai_de_clichy.jpg
The Factories At Asniã¨Res,1887,Paris,46.5 x 54cm,F 318 - JH 1288,deep403_the_factories_at_asnières.jpg
"Vase With Lilacs, Daisies And Anemones",1887,Paris,46.5 x 37.5cm,F 322 - JH 1292,"deep404_vase_with_lilacs,_daisies_and_anemones.jpg"
Vase With Cornflowers And Poppies,1887,Paris,80 x 67cm,F 324 - JH 1293,deep405_vase_with_cornflowers_and_poppies.jpg
Lilacs,1887,Paris,27.3 x 35.3cm,F 286b - JH 1294,deep406_lilacs.jpg
Vase With Daisies And Anemones,1887,Paris,61 x 38cm,F 323 - JH 1295,deep407_vase_with_daisies_and_anemones.jpg
"Japonaiserie: Flowering Plum Tree, After Hiroshige'S Plum Park In Kameido",1887,Paris,55 x 46cm,F 371 - JH 1296,deep408_japonaiserie.jpg
"Japonaiserie: Flowering Plum Tree, After Hiroshige'S Sudden Shower Over Shin-Åœhashi Bridge And Atake",1887,Paris,73 x 54cm,F 372 - JH 1297,deep409_japonaiserie.jpg
"Japonaiserie: The Courtesan, After Keisai Eisen",1887,Paris,105 x 60.5cm,F 373 - JH 1298,deep410_japonaiserie.jpg
Self-Portrait,1887,Paris,41 x 33.5cm,F 268 - JH 1299,deep411_self-portrait.jpg
Self-Portrait With Straw Hat And Pipe,1887,Paris,41.5 x 31.5cm,F 179v - JH 1300,deep412_self-portrait_with_straw_hat_and_pipe.jpg
Self-Portrait,1887,Paris,42 x 34cm,F 269v - JH 1301,deep413_self-portrait.jpg
Self-Portrait With Straw Hat,1887,Paris,41 x 31cm,F 61v - JH 1302,deep414_self-portrait_with_straw_hat.jpg
Self-Portrait,1887,Paris,Oil on canvas on cardboard 42.5 x 31cm,F 109v - JH 1303,deep415_self-portrait.jpg
Self-Portrait,1887,Paris,41 x 33cm,F 77v - JH 1304,deep416_self-portrait.jpg
Montmartre Path With Sunflowers,1887,Paris,32 x 41cm,F 264a - JH 1306,deep417_montmartre_path_with_sunflowers.jpg
Garden With Sunflowers,1887,Paris,42.5 x 35.5cm,F 388v - JH 1307,deep418_garden_with_sunflowers.jpg
Self-Portrait With Straw Hat,1887,Paris,Oil on canvas on panel 34.9 x 26.7cm,F 526 - JH 1309,deep419_self-portrait_with_straw_hat.jpg
Self-Portrait With Straw Hat,1887,Paris,Oil on cardboard 40.5 x 32.5cm,F 469 - JH 1310,deep420_self-portrait_with_straw_hat.jpg
Exterior Of A Restaurant At Asniã¨Res,1887,Paris,18.5 x 27cm,F 321 - JH 1311,deep421_exterior_of_a_restaurant_at_asnières.jpg
Trees And Undergrowth,1887,Paris,46.5 x 55.5cm,F 309a - JH 1312,deep422_trees_and_undergrowth.jpg
Undergrowth,1887,Paris,46 x 38cm,F 308 - JH 1313,deep423_undergrowth.jpg
Trees In A Field On A Sunny Day,1887,Paris,37 x 45.5cm,F 291 - JH 1314,deep424_trees_in_a_field_on_a_sunny_day.jpg
Path In The Woods,1887,Paris,46 x 38.5cm,F 309 - JH 1315,deep425_path_in_the_woods.jpg
Avenue In Voyer D'Argenson Park At Asniã¨Res,1887,Paris,55 x 67cm,F 277 - JH 1316,deep426_avenue_in_voyer_d'argenson_park_at_asnières.jpg
Undergrowth,1887,Paris,32 x 46cm,F 306 - JH 1317,deep427_undergrowth.jpg
Trees And Undergrowth,1887,Paris,46 x 36cm,F 307 - JH 1318,deep428_trees_and_undergrowth.jpg
Corner Of Voyer D'Argenson Park At Asniã¨Res,1887,Paris,49 x 65cm,F 315 - JH 1320,deep429_corner_of_voyer_d'argenson_park_at_asnières.jpg
Banks Of The Seine With Pont De Clichy In The Spring,1887,Paris,50 x 60cm,F 352 - JH 1321,deep430_banks_of_the_seine_with_pont_de_clichy_in_the_spring.jpg
Banks Of The Seine With Pont De Clichy,1887,Paris,30.5 x 39cm,F 302 - JH 1322,deep431_banks_of_the_seine_with_pont_de_clichy.jpg
The Seine With Pont De Clichy,1887,Paris,55 x 46cm,F 303 - JH 1323,deep432_the_seine_with_pont_de_clichy.jpg
Bathing Float On The Seine At Asniã¨Res,1887,Paris,19 x 27cm,F 311 - JH 1325,deep433_bathing_float_on_the_seine_at_asnières.jpg
The Seine With The Pont De La Grand Jette,1887,Paris,32 x 40.5cm,F 304 - 1326,deep434_the_seine_with_the_pont_de_la_grand_jette.jpg
Bridges Across The Seine At Asniã¨Res,1887,Paris,52 x 65cm,F 301 - JH 1327,deep435_bridges_across_the_seine_at_asnières.jpg
Two Cut Sunflowers,1887,Paris,Oil on canvas on triplex board 21 x 27cm,F 377 - JH 1328,deep436_two_cut_sunflowers.jpg
Two Cut Sunflowers,1887,Paris,43.2 x 61cm,F 375 - JH 1329,deep437_two_cut_sunflowers.jpg
Four Cut Sunflowers,1887,Paris,60 x 100cm,F 452 - JH 1330,deep438_four_cut_sunflowers.jpg
Two Cut Sunflowers,1887,Paris,50 x 60cm,F 376 - JH 1331,deep439_two_cut_sunflowers.jpg
Still Life With French Novels And A Rose,1887,Paris,73 x 93cm,F 359 - JH 1332,deep440_still_life_with_french_novels_and_a_rose.jpg
Self-Portrait With A Japanese Print,1887,Paris,44 x 35cm,F 319 - JH 1333,deep441_self-portrait_with_a_japanese_print.jpg
Self-Portrait,1887,Paris,47 x 35cm,F 320 - JH 1334,deep442_self-portrait.jpg
Chrysanthemums And Wild Flowers In A Vase,1887,Paris,65 x 54cm,F 588 - JH 1335,deep443_chrysanthemums_and_wild_flowers_in_a_vase.jpg
Still Life With Grapes,1887,Paris,32.5 x 46cm,F 603 - JH 1336,deep444_still_life_with_grapes.jpg
"Still Life With Apples, Pears, Lemons And Grapes",1887,Paris,46.5 x 55.2cm,F 382 - JH 1337,"deep445_still_life_with_apples,_pears,_lemons_and_grapes.jpg"
Still Life With Red Cabbage And Onions,1887,Paris,50 x 64.5cm,F 374 - JH 1338,deep446_still_life_with_red_cabbage_and_onions.jpg
Still Life With Red Grapes And Lemons,1887,Paris,48.5 x 65cm,F 383 - JH 1339,deep447_still_life_with_red_grapes_and_lemons.jpg
Still Life With Basket Of Apples (To Lucien Pissarro),1887,Paris,50 x 61cm,F 378 - JH 1340,deep448_still_life_with_basket_of_apples_(to_lucien_pissarro).jpg
Still Life With Basket Of Apples,1887,Paris,46.7 x 55.2cm,F 379 - JH 1341,deep449_still_life_with_basket_of_apples.jpg
Still Life With Apples,1887,Paris,46 x 61.5cm,F 254 - JH 1342,deep450_still_life_with_apples.jpg
Still Life With Quince Pears,1887,Paris,46 x 59.5cm,F 602 - JH 1343,deep451_still_life_with_quince_pears.jpg
Self-Portrait,1887,Paris,46.5 x 35.5cm,F 366 - JH 1345,deep452_self-portrait.jpg
Skull,1887,Paris,Oil on canvas on triplex board 43 x 31cm,F 297 - JH 1346,deep453_skull.jpg
Skull,1887,Paris,Oil on canvas on triplex board 41.5 x 31.5cm,F 297a - JH 1347,deep454_skull.jpg
Plaster Statuette Of A Female Torso,1887,Paris,73 x 54cm,F 216 - JH 1348,deep455_plaster_statuette_of_a_female_torso.jpg
"Still Life With Plaster Statuette, A Rose And Two Novels",1887,Paris,50 x 61cm,F 360 - JH 1349,"deep456_still_life_with_plaster_statuette,_a_rose_and_two_novels.jpg"
Portrait Of Pã¨Re Tanguy,1887,Paris,92 x 75cm,F 363 - JH 1351,deep457_portrait_of_père_tanguy.jpg
Portrait Of Pã¨Re Tanguy,1887,Paris,65 x 51cm,F 364 - JH 1352,deep458_portrait_of_père_tanguy.jpg
Self-Portrait With Grey Felt Hat,1887,Paris,44 x 37.5cm,F 344 - JH 1353,deep459_self-portrait_with_grey_felt_hat.jpg
Self-Portrait With Grey Straw Hat,1887,Paris,40.6 x 31.8cm,F 365v - JH 1354,deep460_self-portrait_with_grey_straw_hat.jpg
Italian Woman (Agostina Segatori?),1887,Paris,81 x 60cm,F 381 - JH 1355,deep461_italian_woman_(agostina_segatori).jpg
Self-Portrait As A Painter,1888,Paris,65.5 x 50.5cm,F 522 - JH 1356,deep462_self-portrait_as_a_painter.jpg
An Old Woman Of Arles,1888,Arles,58 x 42.5cm,F 390 - JH 1357,deep463_an_old_woman_of_arles.jpg
Snowy Landscape With Arles In The Background,1888,Arles,50 x 60cm,F 391 - JH 1358,deep464_snowy_landscape_with_arles_in_the_background.jpg
A Pork-Butcher'S Shop Seen From A Window,1888,Arles,Oil on canvas on cardboard 39.5 x 32.5cm,F 389 - JH 1359,deep465_a_pork-butcher's_shop_seen_from_a_window.jpg
Landscape With Snow,1888,Arles,38 x 46cm,F 290 - JH 1360,deep466_landscape_with_snow.jpg
Almond Blossoms,1888,Arles,24 x 19cm,F 392 - JH 1361,deep467_almond_blossoms.jpg
Almond Blossoms,1888,Arles,24 x 19cm,F 393 - JH 1362,deep468_almond_blossoms.jpg
Still Life With Basket And Six Oranges,1888,Arles,45 x 54cm,F 395 - JH 1363,deep469_still_life_with_basket_and_six_oranges.jpg
A Pair Of Leather Clogs,1889,Saint-Rémy,32.5 x 40.5,F 607 - JH 1364,deep470_a_pair_of_leather_clogs.jpg
Still Life: Potatoes In A Yellow Dish,1888,Arles,39 x 47cm,F 386 - JH 1365,deep471_still_life.jpg
Avenue Of Plane Trees Near Arles Station,1888,Arles,46 x 49.5cm,F 398 - JH 1366,deep472_avenue_of_plane_trees_near_arles_station.jpg
The Gleize Bridge Over The Vigueirat Canal,1888,Arles,46 x 49cm,F 396 - JH 1367,deep473_the_gleize_bridge_over_the_vigueirat_canal.jpg
The Langlois Bridge At Arles With Women Washing,1888,Arles,54 x 65cm,F 397 - JH 1368,deep474_the_langlois_bridge_at_arles_with_women_washing.jpg
Two Lovers(Fragment),1888,Arles,32.5 x 23cm,F 544 - JH 1369,deep475_two_lovers_(fragment).jpg
The Langlois Bridge At Arles With Road Alongside The Canal,1888,Arles,59.5 x 74cm,F 400 - JH 1371,deep476_the_langlois_bridge_at_arles_with_road_alongside_the_canal.jpg
Pink Peach Tree In Blossom (Reminiscence Of Mauve),1888,Arles,73 x 59.5cm,F 394 - JH 1379,deep477_pink_peach_tree_in_blossom_(reminiscence_of_mauve).jpg
Orchard With Blossoming Apricot Trees,1888,Arles,64.5 x 80.5cm,F 555 - JH 1380,deep478_orchard_with_blossoming_apricot_trees.jpg
Orchard In Blossom,1888,Arles,72.4 x 53.5cm,F 552 - JH 1381,deep479_orchard_in_blossom.jpg
The White Orchard,1888,Arles,60 x 81cm,F 403 - JH 1378,deep480_the_white_orchard.jpg
Apricot Trees In Blossom,1888,Arles,55 x 65.5cm,F 556 - JH 1383,deep481_apricot_trees_in_blossom.jpg
Orchard In Blossom,1888,Arles,72.5 x 92cm,F 511 - JH 1386,deep482_orchard_in_blossom.jpg
Orchard In Blossom (Plum Trees),1888,Arles,55 x 65cm,F 553 - JH 1387,deep483_orchard_in_blossom_(plum_trees).jpg
"Orchard In Blossom, Bordered By Cypresses",1888,Arles,32.5 x 40cm,F 554 - JH 1388,"deep484_orchard_in_blossom,_bordered_by_cypresses.jpg"
"Orchard In Blossom, Bordered By Cypresses",1888,Arles,65 x 81cm,F 513 - JH 1389,"deep485_orchard_in_blossom,_bordered_by_cypresses.jpg"
The Langlois Bridge At Arles,1888,Arles,60 x 65cm,F 571 - JH 1392,deep486_the_langlois_bridge_at_arles.jpg
Blossoming Pear Tree,1888,Arles,73 x 46cm,F 405 - JH 1394,deep487_blossoming_pear_tree.jpg
Orchard With Peach Trees In Blossom,1888,Arles,65 x 81cm,F 551 - JH 1396,deep488_orchard_with_peach_trees_in_blossom.jpg
Almond Tree In Blossom,1888,Arles,48.5 x 36cm,F 557 - JH 1397,deep489_almond_tree_in_blossom.jpg
Apricot Trees In Blossom,1888,Arles,41 x 33cm,F 399 - JH 1398,deep490_apricot_trees_in_blossom.jpg
Orchard In Blossom,1888,Arles,72 x 58cm,F 406 - JH 1399,deep491_orchard_in_blossom.jpg
Path Through A Field With Willows,1888,Arles,31.5 x 38.5cm,F 407 - JH 1402,deep492_path_through_a_field_with_willows.jpg
Peach Tree In Blossom,1888,Arles,80.5 x 59.5cm,F 404 - JH 1391,deep493_peach_tree_in_blossom.jpg
View Of Arles With Irises In The Foreground,1888,Arles,54 x 65cm,F 409 - JH 1416,deep494_view_of_arles_with_irises_in_the_foreground.jpg
Farmhouse In A Wheat Field,1888,Arles,45 x 50cm,F 408 - JH 1417,deep495_farmhouse_in_a_wheat_field.jpg
A Lane Near Arles,1888,Arles,61 x 50cm,F 567 - JH 1419,deep496_a_lane_near_arles.jpg
Langlois Bridge At Arles,1888,Arles,49.5 x 64cm,F 570 - JH 1421,deep497_langlois_bridge_at_arles.jpg
Landscape Under A Stormy Sky,1888,Arles,59.5 x 70cm,F 575 - JH 1422,deep498_landscape_under_a_stormy_sky.jpg
Farmhouse In A Wheat Field Near Arles,1888,Arles,24.5 x 35cm,F 576 - JH 1423,deep499_farmhouse_in_a_wheat_field_near_arles.jpg
Still Life: Majolica Jug With Wildflowers,1888,Arles,55 x 46cm,F 600 - JH 1424,deep500_still_life.jpg
"Still Life: Bottle, Lemons And Oranges",1888,Arles,53 x 63cm,F 384 - JH 1425,deep501_still_life.jpg
"Still Life: Blue Enamel Coffeepot, Earthenware And Fruit",1888,Arles,65 x 81cm,F 410 - JH 1426,deep502_still_life.jpg
Still Life: Bowl With Daisies,1888,Arles,33 x 42cm,F 591 - JH 1429,deep503_still_life.jpg
"Harvest At La Crau, With Montmajour In The Background",1888,Arles,73 x 92cm,F 412 - JH 1440,"deep504_harvest_at_la_crau,_with_montmajour_in_the_background.jpg"
Haystacks In Provence,1888,Arles,73 x 92.5cm,F 425 - JH 1442,deep505_haystacks_in_provence.jpg
Farmhouse In Provence,1888,Arles,46.1 x 60.9cm,F 565 - JH 1443,deep506_farmhouse_in_provence.jpg
View Of Saintes-Maries,1888,Arles,64 x 53cm,F 416 - JH 1447,deep507_view_of_saintes-maries.jpg
Seascape At Saintes-Maries,1888,Arles,51 x 64cm,F 415 - JH 1452,deep508_seascape_at_saintes-maries.jpg
Seascape At Saintes-Maries,1888,Arles,44 x 53cm,F 417 - JH 1453,deep509_seascape_at_saintes-maries.jpg
Fishing Boats On The Beach At Saintes-Maries,1888,Arles,65 x 81.5cm,F 413 - JH 1460,deep510_fishing_boats_on_the_beach_at_saintes-maries.jpg
Street In Saintes-Maries,1888,Arles,38.3 x 46.1cm,F 420 - JH 1462,deep511_street_in_saintes-maries.jpg
Three White Cottages In Saintes-Maries,1888,Arles,33.5 x 41.5cm,F 419 - JH 1465,deep512_three_white_cottages_in_saintes-maries.jpg
"Girl With Ruffled Hair (""The Mudlark"")",1888,Arles,35.5 x 24.5cm,F 535 - JH 1467,deep513_girl_with_ruffled_hair.jpg
The Bridge At Trinquetaille,1888,Arles,65 x 81cm,F 426 - JH 1468,deep514_the_bridge_at_trinquetaille.jpg
The Sower,1888,Arles,64 x 80.5cm,F 422 - JH 1470,deep515_the_sower.jpg
Summer Evening In Arles,1888,Arles,73.5 x 92cm,F 465 - JH 1473,deep516_summer_evening_in_arles.jpg
Wheat Field,1888,Arles,50 x 61cm,F 564 - JH 1475,deep517_wheat_field.jpg
Wheat Field With The Alpilles Foothills In The Background,1888,Arles,Oil on canvas on cardboard 54 x 65cm,F 411 - JH 1476,deep518_wheat_field_with_the_alpilles_foothills_in_the_background.jpg
Arles: View From The Wheat Fields,1888,Arles,73 x 54cm,F 545 - JH 1477,deep519_arles.jpg
Wheat Field With Stacks,1888,Arles,28.5 x 37cm,JH 1478,deep520_wheat_field_with_stacks.jpg
Wheat Field With Sheaves,1888,Arles,55.2 x 66.6cm,F 561 - JH 1480,deep521_wheat_field_with_sheaves.jpg
Harvest In Provence,1888,Arles,50 x 60cm,F 558 - JH 1481,deep522_harvest_in_provence.jpg
Green Ears Of Wheat,1888,Arles,54 x 65cm,F 562 - JH 1483,deep523_green_ears_of_wheat.jpg
The Zouave (Half Length),1888,Arles,65 x 54cm,F 423 - JH 1486,deep524_the_zouave_(half_length).jpg
The Seated Zouave,1888,Arles,81 x 65cm,F 424 - JH 1488,deep525_the_seated_zouave.jpg
Sunset At Montmajour,41888,Arles,93.3 x 73.3cm,[d],deep526_sunset_at_montmajour.jpg
Rocks With Oak Tree,1888,Arles,54 x 65cm,F 466 - JH 1489,deep527_rocks_with_oak_tree.jpg
Canal With Women Washing,1888,Arles,74 x 60cm,F 427 - JH 1490,deep528_canal_with_women_washing.jpg
The Painter On His Way To Work,1888,Arles,48 x 44cm,F 448 - JH 1491,deep529_the_painter_on_his_way_to_work.jpg
Sunny Lawn In A Public Park,1888,Arles,60.5 x 73.5cm,F 428 - JH 1499,deep530_sunny_lawn_in_a_public_park.jpg
Flowering Garden,1888,Arles,92 x 73cm,F 430 - JH 1510,deep531_flowering_garden.jpg
Flowering Garden With Path,1888,Arles,72 x 91cm,F 429 - JH 1513,deep532_flowering_garden_with_path.jpg
La Mousmã© Sitting,1888,Arles,74 x 60cm,F 431 - JH 1519,deep533_la_mousmé_sitting.jpg
Portrait Of The Postman Joseph Roulin,1888,Arles,81.2 x 65.3cm,F 432 - JH 1522,deep534_portrait_of_the_postman_joseph_roulin.jpg
Portrait Of The Postman Joseph Roulin,1888,Arles,64.1 x 47.9cm,F 433 - JH 1524,deep535_portrait_of_the_postman_joseph_roulin.jpg
Garden Behind A House,1888,Arles,63.5 x 52.5cm,F 578 - JH 1538,deep536_garden_behind_a_house.jpg
"Portrait Of Patience Escalier, Shepherd In Provence",1888,Arles,64 x 54cm,F 443 - JH 1548,"deep537_portrait_of_patience_escalier,_shepherd_in_provence.jpg"
Thistles,1888,Arles,59 x 49cm,F 447 - JH 1550,deep538_thistles.jpg
Two Thistles,1888,Arles,55 x 45cm,F 447a - JH 1551,deep539_two_thistles.jpg
Railway Carriages,1888,Arles,45 x 50cm,F 446 - JH 1553,deep540_railway_carriages.jpg
Encampment Of Gypsies With Caravans,1888,Arles,45 x 51cm,F 445 - JH 1554,deep541_encampment_of_gypsies_with_caravans.jpg
Quay With Men Unloading Sand Barges,1888,Arles,55.1 x 66.2cm,F 449 - JH 1558,deep542_quay_with_men_unloading_sand_barges.jpg
Three Sunflowers In A Vase,1888,Arles,73 x 58cm,F 453 - JH 1559,deep543_three_sunflowers_in_a_vase.jpg
Still Life: Vase With Five Sunflowers,1888,Arles,98 x 69cm,F 459 - JH 1560,deep544_still_life.jpg
Still Life: Vase With Twelve Sunflowers,1888,Arles,91 x 72cm,F 456 - JH 1561,deep545_still_life.jpg
Still Life: Vase With Fifteen Sunflowers,1888,Arles,93 x 73cm,F 454 - JH 1562,deep546_still_life.jpg
Portrait Of Patience Escalier,1888,Arles,69 x 56cm,F 444 - JH 1563,deep547_portrait_of_patience_escalier.jpg
